DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address City,Address State,Address ZIP,Address Borough
2091354-2-DCA,Business,12/31/2020,Active,10/11/2019,Tobacco Retail Dealer,PRAMUKH 7924 INC,FLUSHING,NY,11366,Queens
2047259-2-DCA,Business,12/31/2020,Active,01/11/2017,Tobacco Retail Dealer,H & W DELI GROCERY INC.,NEW YORK,NY,10040,Manhattan
2029340-2-DCA,Business,12/31/2018,Inactive,10/08/2015,Tobacco Retail Dealer,SHINY DELI CORP.,BRONX,NY,10467,Bronx
1470058-DCA,Business,12/31/2014,Inactive,07/25/2013,Electronics Store,"TAINO GOLD, LLC",BROOKLYN,NY,11211,Brooklyn
2089363-DCA,Business,02/28/2021,Active,08/09/2019,Home Improvement Contractor,PECK HOLLOW LLC,STATEN ISLAND,NY,10304,Staten Island
2022539-DCA,Business,12/31/2020,Active,05/11/2015,Electronics Store,CSR NYC LLC,BROOKLYN,NY,11212,Brooklyn
2032262-DCA,Business,02/28/2021,Active,01/07/2016,Home Improvement Contractor,BETTER LIVING CONSTRUCTION LLC,OAKLAND GARDENS,NY,11364,Queens
1463651-DCA,Business,12/31/2017,Inactive,05/03/2013,Laundry Jobber,SWEET ANGEL GARMENT CARE LLC,NEW YORK,NY,10014,Manhattan
2061804-DCA,Business,12/31/2021,Active,11/28/2017,Laundries,NEW SPEED CLEANERS CORP,WOODSIDE,NY,11377,Queens
1307089-DCA,Business,07/31/2013,Inactive,01/08/2009,Secondhand Dealer - General,L.M. GOLD BUYER INC.,JACKSON HTS,NY,11372,Queens
1169270-DCA,Business,12/31/2018,Inactive,06/02/2004,Tobacco Retail Dealer,"NASSER, MOHAMED J.",BROOKLYN,NY,11203,Brooklyn
1072990-DCA,Business,06/30/2013,Inactive,02/12/2001,Home Improvement Contractor,JCB & T CONSTRUCTION CORP.,CARLE PLACE,NY,11514,Outside NYC
2083477-DCA,Business,04/15/2021,Active,03/20/2019,Sidewalk Cafe,TIMONI INC,NEW YORK,NY,10012,Manhattan
1470339-DCA,Business,02/28/2015,Inactive,07/30/2013,Home Improvement Contractor,N&K DESIGN CONSTRUCTION INC.,MIDDLE VILLAGE,NY,11379,Queens
2005920-DCA,Business,07/31/2021,Active,04/08/2014,Secondhand Dealer - Auto,JML AUTO GROUP LLC,BROOKLYN,NY,11235,Brooklyn
1242002-DCA,Business,06/30/2011,Inactive,10/19/2006,Home Improvement Contractor,S S S CONSTRUCTION RENOVATIONS AND REPAIRS INC.,BROOKLYN,NY,11226,Brooklyn
1431661-DCA,Business,06/30/2016,Inactive,05/29/2012,Electronic & Appliance Service,PARMOUNT WIRELESS INC,RICHMOND HILL,NY,11418,Queens
1289210-DCA,Business,02/28/2021,Active,04/20/2011,Home Improvement Contractor,JL ARTS LTD.,NEW YORK,NY,10022,Manhattan
1192391-DCA,Business,06/30/2014,Inactive,04/04/2005,Electronic & Appliance Service,"SPECTRUM IT SERVICES, LLC",BROOKLYN,NY,11218,Brooklyn
1398475-DCA,Business,02/28/2019,Inactive,07/05/2011,Home Improvement Contractor,FIRST FALCON CONTRACTING CORP.,BROOKLYN,NY,11235,Brooklyn
2087451-DCA,Business,02/28/2021,Active,06/21/2019,Home Improvement Contractor,Jamie Zapata,BRONX,NY,10458,Bronx
1105698-DCA,Business,06/30/2012,Inactive,10/25/2004,Electronic & Appliance Service,"YUSUPOV, RAFOEL N.",BROOKLYN,NY,11212,Brooklyn
2075218-1-DCA,Business,11/30/2019,Inactive,07/09/2018,Electronic Cigarette Dealer,MORRIS BEST DELI & GRILL INC,BRONX,NY,10453,Bronx
1241325-DCA,Business,12/31/2012,Inactive,10/18/2006,Electronics Store,"STAPLES THE OFFICE SUPERSTORE EAST, INC.",NEW YORK,NY,10017,Manhattan
1429548-DCA,Business,04/30/2018,Inactive,05/15/2012,Tow Truck Company,NICK'S TOWING INC.,HOLLIS,NY,11423,Queens
2016399-DCA,Business,03/31/2020,Active,12/12/2014,Stoop Line Stand,LA FINQUITA #1 FRUIT & VEGETABLES CORP,BROOKLYN,NY,11208,Brooklyn
0832854-DCA,Business,04/30/2020,Active,10/30/2007,Tow Truck Company,DE-KO INC.,BROOKLYN,NY,11218,Brooklyn
1027666-DCA,Business,06/30/2020,Active,02/22/2000,Electronic & Appliance Service,"PHILLIPS, GEORGE",ASTORIA,NY,11103,Queens
1198275-DCA,Business,02/28/2017,Inactive,05/25/2005,Home Improvement Contractor,"NASSAU/SUFFOLK HOMES, INC.",BETHPAGE,NY,11714,Outside NYC
2086966-DCA,Business,02/28/2021,Active,06/07/2019,Home Improvement Contractor,SILEDA RENOVATION CORP.,HARRISON,NY,10528,Outside NYC
1241176-DCA,Business,12/31/2018,Inactive,10/19/2006,Electronics Store,STAPLES THE OFFICE SUPERSTORE EAST INC.,COLLEGE POINT,NY,11356,Queens
2016224-DCA,Business,04/30/2016,Inactive,12/06/2014,Tow Truck Company,MID-VALLEY TOWING INC,FLUSHING,NY,11355,Queens
1223750-DCA,Business,02/28/2021,Active,04/17/2006,Home Improvement Contractor,"FACADE RESTORATION USA, INC.",WOODSIDE,NY,11377,Queens
2067248-DCA,Business,12/31/2018,Inactive,03/05/2018,Electronics Store,MAX TRADE INTERNATIONAL INC,BROOKLYN,NY,11226,Brooklyn
2027366-DCA,Business,02/02/2016,Inactive,08/20/2015,Cabaret,SENOR FROGS TIMES SQUARE LLC,NEW YORK,NY,10036,Manhattan
1317008-DCA,Business,06/30/2014,Inactive,05/05/2009,Electronic & Appliance Service,"FELIX, JONATHAN",BROOKLYN,NY,11215,Brooklyn
1312701-DCA,Business,06/30/2011,Inactive,03/30/2009,Home Improvement Contractor,"CORDON,OMAR A",BRONX,NY,10459,Bronx
1450847-DCA,Business,07/31/2013,Inactive,11/26/2012,Secondhand Dealer - General,AUTO FASHION NY INC,ASTORIA,NY,11102,Queens
1089922-DCA,Business,02/28/2019,Inactive,08/03/2001,Home Improvement Contractor,"THE FIREPLACE STORE, INC.",SEAFORD,NY,11783,Outside NYC
2062993-DCA,Business,06/30/2020,Inactive,12/11/2017,Electronic & Appliance Service,RS NYC 1 INC,JACKSON HEIGHTS,NY,11372,Queens
1428551-DCA,Business,12/31/2015,Inactive,05/04/2012,Tobacco Retail Dealer,"FAMILY DOLLAR STORES OF NEW YORK, INC.",BRONX,NY,10455,Bronx
1197065-DCA,Business,12/31/2011,Inactive,05/16/2005,Tobacco Retail Dealer,"R.V.P., INC.",NEW YORK,NY,10033,Manhattan
2076231-DCA,Business,07/31/2021,Active,07/26/2018,Secondhand Dealer - General,WORSHIP LLC,BROOKLYN,NY,11237,Brooklyn
1455616-DCA,Business,02/28/2021,Active,02/01/2013,Home Improvement Contractor,"TONY, AMATO",STATEN ISLAND,NY,10306,Staten Island
