DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address City,Address State,Address ZIP,Address Borough
2061652-DCA,Business,12/31/2021,Active,11/27/2017,Laundries,S. H. Greenwich Cleaners Inc,NEW YORK,NY,10013,Manhattan
2085401-2-DCA,Business,11/30/2020,Active,05/02/2019,Electronic Cigarette Dealer,LAGUARDIA SERVICE LLC,FLUSHING,NY,11371,Queens
2078241-DCA,Business,02/28/2021,Active,09/17/2018,Home Improvement Contractor,"CD RESTORATIONS, LLC",COLLEGE POINT,NY,11356,Queens
2003807-DCA,Business,12/31/2014,Inactive,02/24/2014,Electronics Store,MY PHONE DOKTOR INC.,BROOKLYN,NY,11238,Brooklyn
1383686-DCA,Business,07/31/2013,Inactive,03/01/2011,Secondhand Dealer - General,"JEREOME AVENUE CAR WASH AND LUBE, INC.",BRONX,NY,10452,Bronx
2016019-1-DCA,Business,12/31/2021,Active,12/01/2014,Tobacco Retail Dealer,ABDUL FOOD CORP,BROOKLYN,NY,11221,Brooklyn
1367708-DCA,Business,07/31/2013,Inactive,08/23/2010,Secondhand Dealer - General,USA GC LLC,BROOKLYN,NY,11201,Brooklyn
2020493-DCA,Business,03/15/2018,Inactive,04/03/2015,Amusement Device Portable,"ANYTHING AMUSING, INC",STATEN ISLAND,NY,10306,Staten Island
1282556-DCA,Business,12/31/2010,Inactive,04/22/2008,Tobacco Retail Dealer,CMQ TRADING INC.,NEW YORK,NY,10002,Manhattan
2055842-DCA,Business,08/20/2017,Inactive,07/17/2017,Amusement Device Temporary,WONDERLAND MIDWAY CORP.,BROOKLYN,NY,11208,BROOKLYN
2010418-1-DCA,Business,12/31/2021,Active,07/07/2014,Tobacco Retail Dealer,ORGANIC GOURMET DELI CORP,BROOKLYN,NY,11211,Brooklyn
1456407-DCA,Business,12/31/2018,Inactive,02/08/2013,Electronics Store,"1STOP2SHOP.COM2, INC.",BRONX,NY,10455,Bronx
2020236-DCA,Business,12/31/2016,Inactive,03/31/2015,Electronics Store,BAYSIDE BELL WIRELESS INC,BROOKLYN,NY,11204,Brooklyn
1386988-DCA,Business,03/15/2021,Active,08/28/2013,Dealer In Products,86TH STREET PHARMACY CORP.,BROOKLYN,NY,11235,Brooklyn
2094548-DCA,Business,12/31/2020,Active,02/18/2020,Electronics Store,Baj Essentials Corp,LONG ISLAND CITY,NY,11101,Queens
1106716-DCA,Business,02/28/2021,Active,06/20/2002,Home Improvement Contractor,"CANEPA, NICHOLAS",STATEN ISLAND,NY,10312,Staten Island
1418022-DCA,Business,12/15/2016,Inactive,01/26/2012,Sidewalk Cafe,CAJUN BROOKLYN LLC,BROOKLYN,NY,11231,Brooklyn
1185079-DCA,Business,07/31/2015,Inactive,10/06/2005,Secondhand Dealer - Auto,K P C MOTORS CORP.,BROOKLYN,NY,11207,Brooklyn
2074885-1-DCA,Business,11/30/2021,Inactive,07/02/2018,Electronic Cigarette Dealer,KHIZER 5 INC,BROOKLYN,NY,11230,Brooklyn
2073656-1-DCA,Business,11/30/2021,Active,06/18/2018,Electronic Cigarette Dealer,CLAY DELI GROCERY INC.,BROOKLYN,NY,11222,Brooklyn
1343942-DCA,Business,03/31/2020,Inactive,01/29/2010,Horse Drawn Cab Owner,"PALIOTTA, GIOVANNI",NEW YORK,NY,10019,Manhattan
1429553-DCA,Business,07/06/2018,Inactive,05/22/2012,Parking Lot,STANDARD PARKING CORPORATION,NEW YORK,NY,10029,Manhattan
0945780-DCA,Business,03/31/2019,Inactive,03/28/1997,Garage,"STEWART HOUSE CAR PARK, INC",NEW YORK,NY,10003,Manhattan
1320877-DCA,Business,01/31/2013,Inactive,06/03/2009,Debt Collection Agency,"GENE R. KAZLOW, P.C.",NEW YORK,NY,10001,Manhattan
2067169-1-DCA,Business,11/30/2021,Active,03/02/2018,Electronic Cigarette Dealer,PMP CONVENIENCE CORP.,SOUTH RICHMOND HILL,NY,11419,Queens
2079541-DCA,Business,02/28/2021,Active,10/29/2018,Home Improvement Contractor,GLR Home Improvement Inc.,WHITESTONE,NY,11357,Queens
1003178-DCA,Business,12/31/2020,Active,02/10/1999,Electronics Store,RASHID HUSSAIN & NASIR KHAN,QUEENS VILLAGE,NY,11427,Queens
1440752-DCA,Business,12/31/2013,Inactive,08/10/2012,Laundry Jobber,GREEN LIFE SOHO CLEANERS LLC,NEW YORK,NY,10012,Manhattan
1434320-DCA,Business,10/05/2012,Inactive,09/05/2012,Special Sale,"V.I.P. MEN'S SUITS, INC.",NEW YORK,NY,10007,Manhattan
1325713-DCA,Business,01/31/2021,Active,07/13/2009,Debt Collection Agency,"CAVALRY INVESTMENTS, LLC",VALHALLA,NY,10595,Outside NYC
2078301-DCA,Business,10/31/2021,Active,09/19/2018,Car Wash,39 Super Wash Express Corp,LONG ISLAND CITY,NY,11101,Queens
2093463-DCA,Business,07/31/2021,Active,01/09/2020,Secondhand Dealer - General,T. TIRESHOP CORP,JAMAICA,NY,11432,Queens
2046319-DCA,Business,01/31/2021,Active,12/08/2016,Debt Collection Agency,"STERN & STERN, P.C.",BELLMORE,NY,11710,Outside NYC
1418379-DCA,Business,03/31/2014,Inactive,01/27/2012,Stoop Line Stand,INTERNATIONAL QUALITY FRUIT INC.,BROOKLYN,NY,11235,Brooklyn
2039696-DCA,Business,12/31/2017,Inactive,06/30/2016,Laundry,"JYH PROMISE, INC.",BRONX,NY,10469,Bronx
1312446-DCA,Business,03/31/2021,Active,03/26/2009,Garage,STELLMAR PARKING LLC,NEW YORK,NY,10065,Manhattan
1037351-DCA,Business,04/30/2020,Active,12/09/2011,Tow Truck Exemption,"HITCH KING, INC.",FLUSHING,NY,11358,Queens
1221141-DCA,Business,04/15/2012,Inactive,03/16/2006,Sidewalk Cafe,"TOKYO POP, LLC",NEW YORK,NY,10025,Manhattan
1419595-DCA,Business,02/28/2017,Inactive,02/13/2012,Home Improvement Contractor,LOU-MAR PAINTING CORP.,FLUSHING,NY,11354,Queens
1378349-DCA,Business,12/31/2021,Active,12/07/2010,Tobacco Retail Dealer,"DANISH ORGANIC, INC.",ASTORIA,NY,11103,Queens
2084181-DCA,Business,12/31/2020,Active,04/04/2019,Electronics Store,DIAMOND WIRELESS AND REPAIR PERFUME ESSENCE AND VARIETY INC,CORONA,NY,11368,Queens
2048226-DCA,Business,07/31/2019,Inactive,02/08/2017,Secondhand Dealer - General,LUZ ELENA PEZZA & MARK JACOBOWITZ,BROOKLYN,NY,11206,Brooklyn
1102254-DCA,Business,12/31/2012,Inactive,02/26/2002,Electronics Store,"COMPUCELL V, INC.",BROOKLYN,NY,11215,Brooklyn
1327357-DCA,Business,12/31/2013,Inactive,07/28/2009,Tobacco Retail Dealer,"YOUNG HUI DOLLAR STORE, INC",BROOKLYN,NY,11204,Brooklyn
2005250-DCA,Business,02/28/2015,Inactive,03/26/2014,Home Improvement Contractor,"HOGG, HERBERT",BROOKLYN,NY,11226,Brooklyn
2012832-DCA,Business,07/31/2015,Inactive,09/03/2014,Secondhand Dealer - General,LOANZEY INC,NEW YORK,NY,10019,Manhattan
1450882-DCA,Business,07/31/2015,Inactive,11/26/2012,Secondhand Dealer - General,"FRANKIE'S 5 ANGELS VARIETY STORE, LLC",BROOKLYN,NY,11207,Brooklyn
2014269-1-DCA,Business,12/31/2015,Inactive,10/06/2014,Tobacco Retail Dealer,WAFA DESI BAZAR INC,JAMAICA,NY,11432,Queens
1379283-DCA,Business,12/31/2011,Inactive,12/20/2010,Laundry Jobber,SLATE NYC INC.,NEW YORK,NY,10011,Manhattan
2073410-1-DCA,Business,11/30/2019,Inactive,06/13/2018,Electronic Cigarette Dealer,LIBERTY DELI AND GROCERY CORP,BRONX,NY,10451,Bronx
1129635-DCA,Business,02/28/2017,Inactive,08/02/2011,Home Improvement Contractor,PACE GENERAL CONSTRUCTION CORP.,BRONX,NY,10469,Bronx
2039569-1-DCA,Business,12/31/2019,Inactive,06/27/2016,Tobacco Retail Dealer,MCDONALD DELI GROCERY CORP.,BRONX,NY,10456,Bronx
1349562-DCA,Business,06/30/2011,Inactive,04/12/2010,Home Improvement Contractor,STARLIGHT DESIGNS INCORPORATED,BROOKLYN,NY,11230,Brooklyn
2042164-1-DCA,Business,12/31/2021,Active,08/09/2016,Tobacco Retail Dealer,INDULGE GRILL GOURMET INC,BROOKLYN,NY,11220,Brooklyn
1398116-DCA,Business,03/31/2015,Inactive,06/30/2011,Parking Lot,FD 131ST LLC,NEW YORK,NY,10027,Manhattan
1417964-DCA,Business,07/31/2013,Inactive,01/20/2012,Secondhand Dealer - General,"ALTAMIRANO, SAMUEL",CORONA,NY,11368,Queens
1377505-DCA,Business,12/31/2015,Inactive,11/23/2010,Tobacco Retail Dealer,CORONA DELI GROCERY CORP.,CORONA,NY,11368,Queens
2071218-1-DCA,Business,11/30/2021,Active,05/15/2018,Electronic Cigarette Dealer,CHARMAR SUPERETTE INC,STATEN ISLAND,NY,10301,Staten Island
1159644-DCA,Business,06/30/2011,Inactive,02/03/2004,Home Improvement Contractor,"MIKESAD ENTERPRISES, INC.",JAMAICA,NY,11435,Queens
1258801-DCA,Business,07/31/2011,Inactive,06/14/2007,Secondhand Dealer - General,4-52 TRADING CORP.,BROOKLYN,NY,11207,Brooklyn
2049118-DCA,Business,07/31/2021,Active,03/06/2017,Secondhand Dealer - Auto,BH AUTO GROUP INC,BROOKLYN,NY,11236,Brooklyn
1236513-DCA,Business,07/31/2021,Active,07/31/2007,Secondhand Dealer - General,"TYNER, PAUL",BROOKLYN,NY,11212,Brooklyn
1183365-DCA,Business,03/15/2017,Inactive,04/26/2010,Amusement Device Portable,NEW YORK FUN FACTORY,BETHPAGE,NY,11714,Outside NYC
1413995-DCA,Business,12/31/2017,Inactive,11/22/2011,Laundry,101 HAPPY WORLD INC.,BRONX,NY,10459,Bronx
1398061-DCA,Business,06/30/2013,Inactive,06/28/2011,Home Improvement Contractor,MARK T BARAUSKAS,RIVERHEAD,NY,11901,Outside NYC
2036097-DCA,Business,02/28/2018,Inactive,04/15/2016,Process Serving Agency,RED APPLE COURT SERVICES INC,LONG BEACH,NY,11561,Outside NYC
2021763-2-DCA,Business,12/31/2018,Inactive,04/28/2015,Tobacco Retail Dealer,"BEGUM NEWSSTAND, INC.",NEW YORK,NY,10007,Manhattan
0901213-DCA,Business,06/30/2020,Active,07/29/1994,Electronic & Appliance Service,"KARAGIANNAKIS, ATHANASIOS",ASTORIA,NY,11102,Queens
1397250-DCA,Business,03/15/2013,Inactive,06/20/2011,Dealer In Products,"EXITO MEDICAL SUPPLY, INC.",BROOKLYN,NY,11219,Brooklyn
1290084-DCA,Business,03/31/2012,Inactive,06/24/2008,Stoop Line Stand,"SABOR DE LA ISLA, CORP.",BRONX,NY,10455,Bronx
1345114-DCA,Business,02/28/2015,Inactive,11/14/2011,Home Improvement Contractor,S D S  CONSTRUCTION CORP,PLAINVIEW,NY,11803,Outside NYC
2023573-DCA,Business,06/30/2018,Inactive,06/01/2015,Electronic & Appliance Service,J TECH WIRELESS II INC,JACKSON HEIGHTS,NY,11372,Queens
0959159-DCA,Business,02/28/2015,Inactive,04/24/1997,Home Improvement Contractor,"RICHARD CONSTRUCTION CO., INC.",NEW YORK,NY,10023,Manhattan
1421819-DCA,Business,12/31/2020,Active,03/12/2012,Electronics Store,ARNYC CORP.,BROOKLYN,NY,11212,Brooklyn
1250691-DCA,Business,04/15/2013,Inactive,03/28/2007,Sidewalk Cafe,"OUT OF THE KITCHEN, INC.",NEW YORK,NY,10014,Manhattan
1237998-DCA,Business,02/28/2021,Active,09/01/2006,Home Improvement Contractor,NEW PRIME GENERAL CONSTRUCTION CORP.,BRONX,NY,10469,Bronx
0816930-DCA,Business,12/31/2017,Inactive,10/10/1995,Laundry,GLO-BRITE LAUNDROMAT INC,ASTORIA,NY,11105,Queens
1203411-DCA,Business,03/31/2019,Inactive,07/11/2005,Parking Lot,"MALL 92-30 ASSOCIATES, LLC",JAMAICA,NY,11433,Queens
1226192-DCA,Business,12/31/2014,Inactive,05/08/2006,Tobacco Retail Dealer,"TRAVEL TRADERS HOTEL STORES, INC.",NEW YORK,NY,10017,Manhattan
1297032-DCA,Business,12/31/2010,Inactive,08/22/2008,Tobacco Retail Dealer,157 DELI EXPRESS INC.,NEW YORK,NY,10032,Manhattan
2025310-DCA,Business,07/31/2021,Active,07/06/2015,Secondhand Dealer - General,PAUL KIM AUTO PARTS CORP,BROOKLYN,NY,11207,Brooklyn
2072002-1-DCA,Business,11/30/2021,Active,05/29/2018,Electronic Cigarette Dealer,HEIGHTS TOBACCO AND CANDY INC,NEW YORK,NY,10033,Manhattan
2012951-DCA,Business,02/28/2017,Inactive,09/05/2014,Home Improvement Contractor,"DELVALLE, NIKOLAI",FRESH MEADOWS,NY,11365,Queens
1347265-DCA,Business,06/30/2013,Inactive,03/17/2010,Home Improvement Contractor,"IQBAL, ASIF",BRONX,NY,10467,Bronx
1418963-DCA,Business,07/31/2021,Active,07/23/2013,Secondhand Dealer - General,NO RELATION VINTAGE STORE CORP.,BROOKLYN,NY,11237,Brooklyn
1239913-DCA,Business,02/28/2021,Active,01/07/2013,Home Improvement Contractor,"INSTALLATION, SERVICE & REPAIR, INC.",FREEPORT,NY,11520,Outside NYC
2084150-DCA,Business,03/15/2020,Inactive,04/03/2019,Amusement Device Permanent,CENTRAL AMUSEMENT INTERNATIONAL INC.,BROOKLYN,NY,11224,Brooklyn
1282721-DCA,Business,12/31/2015,Inactive,10/24/2012,Tobacco Retail Dealer,F & P FOOD MARKET CORP.,NEW YORK,NY,10033,Manhattan
2006994-DCA,Business,07/31/2021,Active,04/28/2014,Secondhand Dealer - General,T-MOBILE NORTHEAST LLC,ROSEDALE,NY,11422,Queens
2056767-DCA,Business,07/31/2019,Inactive,08/08/2017,Secondhand Dealer - General,NEW YORK VINTAGE INC,NEW YORK,NY,10001,Manhattan
0510824-DCA,Business,12/26/2011,Inactive,01/24/2011,Bingo Game Operator,DEBORAH LEAGUE OF STATEN ISLAND,STATEN ISLAND,NY,10305,Staten Island
1459036-DCA,Business,12/31/2016,Inactive,03/05/2013,Tobacco Retail Dealer,RYAN FOOD CORP I,STATEN ISLAND,NY,10303,Staten Island
1383522-DCA,Business,03/31/2013,Inactive,03/01/2011,Garage,"IMPERIAL PARKING (U.S.), LLC",BROOKLYN,NY,11217,Brooklyn
2036621-DCA,Business,07/31/2017,Inactive,04/26/2016,Secondhand Dealer - General,CELLFONZ R US OF WANTAGH INC.,BROOKLYN,NY,11223,Brooklyn
2021276-DCA,Business,09/15/2021,Active,04/17/2015,Sidewalk Cafe,CACTUS PEAR LLC,NEW YORK,NY,10023,Manhattan
1437745-DCA,Business,06/30/2020,Active,07/18/2012,Electronic & Appliance Service,TECTRONICS ELECTRONIC SERVICES INC.,CORONA,NY,11368,Queens
1194510-DCA,Business,06/30/2014,Inactive,04/22/2005,Electronic & Appliance Service,SAONA TECHNOLOGIES INC.,BRONX,NY,10455,Bronx
1460778-DCA,Business,02/28/2015,Inactive,03/26/2013,Home Improvement Contractor,ISLAND WIDE RENOVATIONS CORP.,STATEN ISLAND,NY,10306,Staten Island
1185256-DCA,Business,12/31/2014,Inactive,11/23/2004,Tobacco Retail Dealer,SAVE N SAVE INC.,STATEN ISLAND,NY,10305,Staten Island
1149492-DCA,Business,12/31/2013,Inactive,04/22/2004,Laundry,"CHAN, MING YAU",RIDGEWOOD,NY,11385,Queens
2038312-DCA,Business,02/28/2017,Inactive,05/26/2016,Home Improvement Contractor,BROUDER INC,BRONX,NY,10470,Bronx
0913998-DCA,Business,07/31/2015,Inactive,08/29/2003,Secondhand Dealer - General,"CAMPBELL, CLAUDE",NEW YORK,NY,10003,Manhattan
1465210-DCA,Business,07/31/2017,Inactive,05/16/2013,Secondhand Dealer - General,"Buffalo Exchange, Ltd",ASTORIA,NY,11105,Queens
1236932-DCA,Business,07/31/2013,Inactive,08/24/2006,Secondhand Dealer - General,"SKYLINE ELECTRONICS, LLC",BROOKLYN,NY,11212,Brooklyn
0956197-DCA,Business,04/15/2010,Inactive,03/28/2006,Sidewalk Cafe,"CREMCAFFE', INC.",NEW YORK,NY,10003,Manhattan
1427339-DCA,Business,07/31/2015,Inactive,07/29/2013,Secondhand Dealer - General,ADRIATIC AUTO BODY INC.,ELMHURST,NY,11373,Queens
2020705-DCA,Business,04/15/2017,Inactive,04/08/2015,Sidewalk Cafe,98 RIVINGTON RESTAURANT LLC,NEW YORK,NY,10002,Manhattan
1428324-DCA,Business,07/31/2017,Inactive,05/07/2012,Secondhand Dealer - General,"LUNA, PURA C.",BRONX,NY,10453,Bronx
1406658-DCA,Business,12/31/2013,Inactive,02/09/2012,Tobacco Retail Dealer,191 EAST 161 STREET CORP.,BRONX,NY,10451,Bronx
2020065-2-DCA,Business,12/31/2018,Inactive,03/26/2015,Tobacco Retail Dealer,181 PARK DELI CORP.,NEW YORK,NY,10033,Manhattan
2002752-DCA,Business,07/31/2021,Active,01/21/2014,Secondhand Dealer - General,T-MOBILE NORTHEAST LLC,BRONX,NY,10455,Bronx
1279513-DCA,Business,12/31/2015,Inactive,03/14/2008,Tobacco Retail Dealer,LIZZIE'S SUPERMARKET INC.,BRONX,NY,10465,Bronx
2048822-2-DCA,Business,12/31/2020,Active,02/28/2017,Tobacco Retail Dealer,LIVINGSTON FOOD CORP.,BROOKLYN,NY,11217,Brooklyn
2015393-DCA,Business,02/28/2019,Inactive,11/10/2014,Home Improvement Contractor,GARAY SILVA HOME IMPROVEMENTS CORP,BRONX,NY,10461,Bronx
1327399-DCA,Business,02/28/2021,Active,07/29/2009,Home Improvement Contractor,H & D IRON WORKS INC.,BROOKLYN,NY,11220,Brooklyn
2049148-DCA,Business,02/28/2021,Active,03/06/2017,Home Improvement Contractor,Buddy Warren Home Inc,BROOKLYN,NY,11249,Brooklyn
2062953-2-DCA,Business,12/31/2020,Active,12/11/2017,Tobacco Retail Dealer,DEMARIE LLC,BROOKLYN,NY,11211,Brooklyn
1314580-DCA,Business,12/31/2020,Active,04/16/2009,Tobacco Retail Dealer,COLLECTIBLES USA INC.,HOWARD BEACH,NY,11414,Queens
1389190-DCA,Business,12/31/2012,Inactive,04/25/2011,Electronics Store,TECHGENIUS INC,ASTORIA,NY,11103,Queens
2024007-2-DCA,Business,12/31/2020,Active,06/08/2015,Tobacco Retail Dealer,MOE'S DELI GROCERY INC,NEW YORK,NY,10039,Manhattan
1316369-DCA,Business,01/31/2021,Active,04/30/2009,Debt Collection Agency,"RUSHMORE RECOVERIES III, LLC",WEST HARRISON,NY,10604,Outside NYC
2016340-DCA,Business,02/28/2021,Active,12/10/2014,Home Improvement Contractor,IMAGE CONTRACTING CORP,STATEN ISLAND,NY,10305,Staten Island
2036899-DCA,Business,02/28/2021,Active,05/02/2016,Home Improvement Contractor,GED USA INC,NEW YORK,NY,10011,Manhattan
2052326-2-DCA,Business,12/31/2020,Active,05/03/2017,Tobacco Retail Dealer,CAPPY'S 556 CORP.,BRONX,NY,10463,Bronx
2034908-DCA,Business,03/26/2020,Inactive,03/24/2016,Garage,QUIK PARK 365 MANAGEMENT LLC,BROOKLYN,NY,11231,Brooklyn
0890446-DCA,Business,01/31/2021,Active,02/16/1995,Debt Collection Agency,ESKO RECOVERY CORP,BROOKLYN,NY,11229,Brooklyn
1287571-DCA,Business,06/30/2013,Inactive,09/27/2012,Home Improvement Contractor,MARU CONSTRUCTION CORP,MANHASSET,NY,11030,Outside NYC
2065752-1-DCA,Business,12/31/2021,Active,02/06/2018,Tobacco Retail Dealer,MAGD DELI CORP,NEW YORK,NY,10031,Manhattan
2064297-DCA,Business,12/31/2019,Inactive,01/03/2018,Laundries,NY TRIPLE EIGHT CLEANERS INC.,NEW YORK,NY,10022,Manhattan
0924391-DCA,Business,07/31/2021,Active,09/04/2003,Secondhand Dealer - General,"MARTINEZ, LUGO",NEW YORK,NY,10035,Manhattan
1249996-DCA,Business,06/30/2011,Inactive,03/15/2007,Home Improvement Contractor,"DAVID, JOSE C",MINEOLA,NY,11501,Outside NYC
1374429-DCA,Business,06/30/2013,Inactive,10/14/2010,Home Improvement Contractor,"MADINA RESTORATION, INC.",STATEN ISLAND,NY,10301,Staten Island
1241315-DCA,Business,12/31/2012,Inactive,10/11/2006,Electronics Store,WHITE PLAINS RD MINI MALL INC.,BRONX,NY,10466,Bronx
1278271-DCA,Business,04/15/2018,Inactive,02/28/2008,Sidewalk Cafe,211 AVE A RESTAURANT INC.,NEW YORK,NY,10003,Manhattan
2019696-DCA,Business,02/28/2017,Inactive,03/19/2015,Home Improvement Contractor,"GARCIA, ANGEL A",OSSINING,NY,10562,Outside NYC
1325290-DCA,Business,03/31/2012,Inactive,07/10/2009,Stoop Line Stand,"WEST 23RD STREET FOOD FAIR, INC.",NEW YORK,NY,10011,Manhattan
1152635-DCA,Business,12/31/2011,Inactive,09/26/2003,Tobacco Retail Dealer,"ROMAN, ANA",BRONX,NY,10451,Bronx
1318489-DCA,Business,02/28/2021,Active,05/15/2009,Home Improvement Contractor,"GAGAN - PREET CONSTRUCTION, INC.",CORONA,NY,11368,Queens
1422571-DCA,Business,12/31/2017,Inactive,03/21/2012,Tobacco Retail Dealer,ALPINE 53RD STREET INC.,NEW YORK,NY,10026,Manhattan
2029326-DCA,Business,07/31/2017,Inactive,10/08/2015,Secondhand Dealer - General,PROKOM WIRLESS 138 INC,BRONX,NY,10462,Bronx
2056120-DCA,Business,02/28/2021,Active,07/24/2017,Home Improvement Contractor,"R & R INSTALLATION USA 11, LLC",JAMAICA,NY,11435,Queens
2034460-1-DCA,Business,12/31/2021,Active,03/15/2016,Tobacco Retail Dealer,GARDEN CONVENIENCE DELI CORP,RIDGEWOOD,NY,11385,Queens
1307473-DCA,Business,03/31/2018,Inactive,01/14/2009,Stoop Line Stand,"COLOMBO'S FRUIT & VEGETABLE MARKET, INC",MIDDLE VILLAGE,NY,11379,Queens
2083470-DCA,Business,04/01/2021,Active,03/20/2019,Storage Warehouse,"MMS FULL SERVICE PLUS, LLC",NEW YORK,NY,10029,Manhattan
2059223-DCA,Business,02/28/2021,Active,10/11/2017,Home Improvement Contractor,KGO CONTRACTING CORP.,STATEN ISLAND,NY,10310,Staten Island
2029332-2-DCA,Business,12/31/2018,Inactive,10/08/2015,Tobacco Retail Dealer,AUTUMN DELI GROCERY CORP,BROOKLYN,NY,11208,Brooklyn
1309600-DCA,Business,12/31/2012,Inactive,02/19/2009,Electronics Store,STAY CONNECTED 3 INC.,NEW YORK,NY,10001,Manhattan
2087391-DCA,Business,03/31/2022,Active,06/20/2019,Stoop Line Stand,Eve And Mike Pharmacy Inc,BROOKLYN,NY,11238,Brooklyn
1268992-DCA,Business,02/28/2021,Active,09/27/2007,Home Improvement Contractor,FAME CONTRACTING INC.,BROOKLYN,NY,11218,Brooklyn
1222378-DCA,Business,03/15/2012,Inactive,03/16/2007,Amusement Device Portable,"A TOTAL JUMP, INC",STATEN ISLAND,NY,10310,Staten Island
2026307-DCA,Business,03/31/2017,Inactive,07/29/2015,Garage and Parking Lot,ONE PARKING 34TH STREET LLC,NEW YORK,NY,10001,Manhattan
1292832-DCA,Business,12/31/2014,Inactive,07/17/2008,Electronics Store,WIRELESS DIRECT OF AVE P INC.,BROOKLYN,NY,11223,Brooklyn
2079417-DCA,Business,07/31/2019,Inactive,10/24/2018,Secondhand Dealer - General,"WZ NY EASTERN WIRELESS, INC.",FLUSHING,NY,11354,Queens
1392353-DCA,Business,02/28/2021,Active,05/17/2011,Home Improvement Contractor,DESIGNDIREKT INTERNATIONAL LLC,NEW YORK,NY,10026,Manhattan
1455387-DCA,Business,07/31/2015,Inactive,01/30/2013,Secondhand Dealer - General,RADIOSHACK CORPORATION,BAYSIDE,NY,11361,Queens
1125504-DCA,Business,06/30/2012,Inactive,10/28/2002,Electronic & Appliance Service,SPORTS MUSIC INC.,BRONX,NY,10453,Bronx
1336870-DCA,Business,12/31/2012,Inactive,10/23/2009,Tobacco Retail Dealer,YOU & ME K&M INC,BROOKLYN,NY,11223,Brooklyn
1426434-DCA,Business,03/15/2021,Active,04/25/2012,Dealer In Products,MIEL PHARMACY CORP.,BROOKLYN,NY,11209,Brooklyn
1449611-DCA,Business,12/31/2019,Inactive,11/07/2012,Tobacco Retail Dealer,"TARAN GROCERIES, INC.",FLUSHING,NY,11355,Queens
1166871-DCA,Business,12/31/2017,Inactive,05/10/2004,Laundry,"AN HUA, INC.",BROOKLYN,NY,11204,Brooklyn
2051698-DCA,Business,03/31/2019,Inactive,04/21/2017,Garage,QP ISABEL LLC,BRONX,NY,10451,Bronx
2076181-DCA,Business,04/15/2020,Active,07/26/2018,Sidewalk Cafe,8522 JAMAICA AVENUE CORP,WOODHAVEN,NY,11421,Queens
2027695-DCA,Business,02/28/2021,Active,08/28/2015,Home Improvement Contractor,'TWICE AS NICE' CONSTRUCTION AND DEVELOPMENT CORP.,NORTH BABYLON,NY,11703,Outside NYC
1215276-DCA,Business,07/31/2017,Inactive,11/15/2011,Secondhand Dealer - General,BSNY ENTERPRISES INC,STATEN ISLAND,NY,10305,Staten Island
2023960-DCA,Business,06/30/2020,Active,06/05/2015,Electronic & Appliance Service,"WOO, KWANG YEUL",JAMAICA,NY,11434,Queens
1441018-DCA,Business,06/30/2016,Inactive,08/14/2012,Electronic & Appliance Service,MM MULTISERVICES CORP.,BROOKLYN,NY,11207,Brooklyn
2092238-DCA,Business,05/01/2020,Active,11/14/2019,Employment Agency,Brink Talent LLC,BROOKLYN,NY,11222,Brooklyn
1327675-DCA,Business,12/31/2015,Inactive,07/30/2009,Tobacco Retail Dealer,"CVS ALBANY, L.L.C",NEW YORK,NY,10025,Manhattan
1340584-DCA,Business,12/31/2014,Inactive,04/21/2011,Tobacco Retail Dealer,B & Q GROCERY CORP.,BROOKLYN,NY,11208,Brooklyn
2002162-DCA,Business,12/31/2017,Inactive,01/03/2014,Laundry Jobber,BROOKLYN CLEANERS GROUP INC,BROOKLYN,NY,11238,Brooklyn
2072819-1-DCA,Business,11/30/2021,Active,06/07/2018,Electronic Cigarette Dealer,RYER CANDY & GROCERY CORP.,BRONX,NY,10457,Bronx
2004745-DCA,Business,12/31/2014,Inactive,03/13/2014,Electronics Store,THE HOUSE COMMUNICATION CORP,BRONX,NY,10460,Bronx
1371193-DCA,Business,04/30/2020,Active,09/16/2010,Pawnbroker,"SEAPOD CAPITAL GROUP, LLC",BROOKLYN,NY,11208,Brooklyn
2025789-DCA,Business,03/31/2020,Active,07/16/2015,Stoop Line Stand,SIRI MEAT MARKET CORP,WOODHAVEN,NY,11421,Queens
2034987-DCA,Business,04/30/2020,Active,03/25/2016,Pawnbroker,M & N JEWELERS CORP,BRONX,NY,10462,Bronx
1391109-DCA,Business,12/31/2020,Active,05/10/2011,Electronics Store,BRONX WORLD WIRELESS L.L.C.,BRONX,NY,10453,Bronx
2013166-DCA,Business,12/31/2017,Inactive,09/10/2014,Laundry,WAVE LAUNDROMAT INC,BROOKLYN,NY,11206,Brooklyn
1231588-DCA,Business,02/28/2021,Active,06/27/2006,Home Improvement Contractor,"MC CORMACK, JOSEPH G",NEW YORK,NY,10009,Manhattan
0971685-DCA,Business,12/31/2017,Inactive,09/18/1997,Laundry,"NEW 97 CLEANERS, INC.",NEW YORK,NY,10019,Manhattan
1309655-DCA,Business,01/16/2012,Inactive,03/08/2010,Gaming Cafe,"YOUNG, KEVEREL",BROOKLYN,NY,11212,Brooklyn
0690023-DCA,Business,07/31/2021,Active,07/11/2003,Secondhand Dealer - General,ILANA FINE JEWELRY INC.,NEW YORK,NY,10003,Manhattan
1459016-DCA,Business,12/31/2014,Inactive,03/06/2013,Tobacco Retail Dealer,MIMI INWOOD TOBACCO & DELI CORP.,NEW YORK,NY,10034,Manhattan
